3,1,24,0,0,7,3,0
2,0,35,0,0,21,3,1
3,1,22,0,0,7,3,0
2,1,30,0,0,13,3,0
3,1,29,1,0,7,2,0
1,0,31,1,0,113,1,1
3,0,27,0,0,7,3,1
2,1,42,1,0,27,3,0
1,0,32,0,0,76,1,1
2,1,30,0,0,10,3,0
3,1,16,0,0,8,3,0
2,1,27,0,0,13,3,1
3,1,51,0,0,8,3,0
3,1,29,0,0,7,3,0
1,1,38,1,0,90,3,0
3,1,22,0,0,9,3,0
2,1,19,0,0,10,3,1
3,1,20,0,0,7,3,0
2,1,18,0,0,13,3,1
3,0,29,3,1,25,3,0
1,0,35,1,0,83,3,1
3,1,29,0,0,7,3,0
2,1,59,0,0,13,3,0
3,0,5,4,2,31,3,0
2,1,24,0,0,10,3,1
3,0,29,0,0,7,3,1
2,1,44,1,0,26,3,0
2,0,8,0,2,26,3,1
2,1,19,0,0,10,3,1
2,1,33,0,0,12,3,0
3,0,29,1,0,14,1,1
3,0,29,1,0,15,2,1
2,1,29,0,0,10,3,0
3,1,22,0,0,7,3,0
3,1,30,0,0,7,1,0
1,1,44,2,0,90,2,0
3,0,25,0,0,7,3,1
2,0,24,0,2,14,3,1
1,1,37,1,1,52,3,0
2,1,54,1,0,26,3,0
3,1,29,0,0,7,3,0
3,0,29,1,1,10,3,0
1,1,62,0,0,26,3,0
3,1,30,1,0,16,3,0
3,0,41,0,2,20,3,0
3,0,29,0,2,15,1,0
1,0,29,0,0,79,1,1
1,0,30,0,0,86,3,1
1,0,35,0,0,512,1,0
2,0,50,0,1,26,3,0
3,1,29,0,0,7,2,0
3,1,3,4,2,31,3,0
1,1,52,1,1,79,3,0
1,1,40,0,0,0,3,1
3,0,29,0,0,7,2,1
2,1,36,0,0,10,3,0
3,1,16,4,1,39,3,0
3,1,25,1,0,7,3,0
1,0,58,0,1,153,3,0
1,0,35,0,0,135,3,1
1,1,29,0,0,31,3,1
3,1,25,0,0,0,3,0
2,0,41,0,1,19,3,0
1,1,37,0,1,29,1,0
3,0,29,0,0,7,2,1
1,0,63,1,0,77,3,0
3,0,45,0,0,7,3,0
2,1,29,0,0,0,3,1
3,1,7,4,1,29,2,0
3,0,35,1,1,20,3,0
3,1,65,0,0,7,2,0
3,1,28,0,0,7,3,0
3,1,16,0,0,9,3,0
3,1,19,0,0,8,3,0
1,1,29,0,0,26,3,1
3,1,33,0,0,8,1,0
3,1,30,0,0,9,3,0
3,1,22,0,0,7,3,0
2,1,42,0,0,13,3,0
3,0,22,0,0,7,2,1
1,0,26,0,0,78,3,1
1,0,19,1,0,91,1,1
2,1,36,0,0,12,1,0
3,0,24,0,0,8,3,1
3,1,24,0,0,7,3,0
1,1,29,0,0,27,1,1
3,1,23,0,0,7,1,0
1,0,2,1,2,151,3,0
1,1,29,0,0,30,3,1
1,0,50,0,1,247,1,0
3,0,29,0,0,7,2,1
3,1,29,2,0,23,2,0
3,1,19,0,0,0,3,0
2,0,29,0,0,12,2,1
3,1,29,0,0,8,3,0
1,1,0,1,2,151,3,0
1,0,29,0,0,110,1,1
1,0,17,1,0,108,1,1
2,1,30,1,0,24,1,0
1,0,30,0,0,56,1,1
1,0,24,0,0,83,1,1
1,0,18,2,2,262,1,0
2,0,26,1,1,26,3,1
3,1,28,0,0,7,3,0
2,1,43,1,1,26,3,0
3,0,26,0,0,7,3,1
2,0,24,1,0,26,3,1
2,1,54,0,0,14,3,0
1,0,31,0,2,164,3,0
1,0,40,1,1,134,1,0
3,1,22,0,0,7,3,0
3,1,27,0,0,7,3,0
2,0,30,0,0,12,2,1
2,0,22,1,1,29,3,1
3,1,29,8,2,69,3,0
1,0,36,0,0,135,1,1
3,1,61,0,0,6,3,0
2,0,36,0,0,13,3,1
3,0,31,1,1,20,3,0
1,0,16,0,1,57,1,1
3,0,29,2,0,23,2,0
1,1,45,0,0,28,3,0
1,1,38,0,1,153,3,0
3,1,16,2,0,18,3,0
1,0,29,1,0,133,3,1
3,1,29,0,0,7,3,0
1,1,29,1,0,66,3,0
1,0,41,0,0,134,1,1
3,1,45,0,0,8,3,0
1,1,45,0,0,35,3,0
2,1,2,1,1,26,3,0
1,0,24,3,2,263,3,0
2,1,28,0,0,13,3,1
2,1,25,0,0,13,3,1
2,1,36,0,0,13,3,0
2,0,24,0,0,13,3,1
2,0,40,0,0,13,3,1
3,0,29,1,0,16,3,1
3,1,3,1,1,15,3,0
3,1,42,0,0,8,3,0
3,1,23,0,0,9,3,0
1,1,29,0,0,35,3,1
3,1,15,1,1,7,1,0
3,1,25,1,0,17,3,0
3,1,29,0,0,7,1,0
3,1,28,0,0,9,3,0
1,0,22,0,1,55,3,1
2,0,38,0,0,13,3,1
3,0,29,0,0,7,2,1
3,0,29,0,0,7,2,1
3,1,40,1,4,27,3,0
2,1,29,1,0,27,1,0
3,0,45,0,1,14,1,0
3,1,35,0,0,7,3,0
3,1,29,1,0,15,2,0
3,1,30,0,0,7,3,0
1,0,60,1,0,75,1,0
3,0,29,0,0,7,1,1
3,0,29,0,0,7,2,1
1,0,24,0,0,69,1,1
1,1,25,1,0,55,1,0
3,1,18,1,0,6,3,0
3,1,19,0,0,8,3,0
1,1,22,0,0,135,1,0
3,0,3,3,1,21,3,0
1,0,29,1,0,82,1,1
3,0,22,0,0,7,3,1
1,1,27,0,2,211,1,0
3,1,20,0,0,4,1,0
3,1,19,0,0,7,3,0
1,0,42,0,0,227,1,0
3,0,1,0,2,15,1,1
3,1,32,0,0,7,3,0
1,0,35,1,0,52,3,1
3,1,29,0,0,7,3,0
2,1,18,0,0,73,3,0
3,1,1,5,2,46,3,0
2,0,36,0,0,13,3,1
3,1,29,0,0,7,2,0
2,0,17,0,0,12,1,1
1,1,36,1,2,120,3,0
3,1,21,0,0,7,3,0
3,1,28,2,0,7,3,0
1,0,23,1,0,113,1,1
3,0,24,0,2,16,3,0
3,1,22,0,0,7,3,0
3,0,31,0,0,7,3,1
2,1,46,0,0,26,3,0
2,1,23,0,0,10,3,1
2,0,28,0,0,12,3,1
3,1,39,0,0,7,3,0
3,1,26,0,0,8,3,0
3,0,21,1,0,9,3,1
3,1,28,1,0,15,3,0
3,0,20,0,0,8,3,1
2,1,34,1,0,21,3,0
3,1,51,0,0,7,3,0
2,1,3,1,1,18,3,0
3,1,21,0,0,7,3,0
3,0,29,3,1,25,3,0
3,1,29,0,0,7,3,0
3,1,29,0,0,6,2,0
1,0,33,1,0,90,2,1
2,1,29,0,0,0,3,1
3,1,44,0,0,7,3,0
3,0,29,0,0,8,3,1
2,0,34,1,1,32,3,0
2,0,18,0,2,13,3,1
2,1,30,0,0,13,3,0
3,0,10,0,2,24,3,0
3,1,29,0,0,7,1,0
3,1,21,0,0,7,2,0
3,1,29,0,0,7,3,0
3,0,28,1,1,14,3,0
3,1,18,1,1,20,3,0
3,1,29,0,0,7,3,0
2,0,28,1,0,26,3,1
2,0,19,0,0,26,3,1
3,1,29,0,0,7,2,0
3,1,32,0,0,8,3,0
1,1,28,0,0,26,3,1
3,0,29,1,0,16,3,1
2,0,42,1,0,26,3,0
3,1,17,0,0,7,3,0
1,1,50,1,0,55,3,0
1,0,14,1,2,120,3,0
3,0,21,2,2,34,3,0
2,0,24,2,3,18,3,0
1,1,64,1,4,263,3,0
2,1,31,0,0,10,3,0
2,0,45,1,1,26,3,0
3,1,20,0,0,9,3,0
3,1,25,1,0,7,3,0
2,0,28,0,0,13,3,1
3,1,29,0,0,8,3,0
1,1,4,0,2,81,3,0
2,0,13,0,1,19,3,1
1,1,34,0,0,26,3,1
3,0,5,2,1,19,1,0
1,1,52,0,0,30,3,0
2,1,36,1,2,27,3,0
3,1,29,1,0,19,3,0
1,1,30,0,0,27,1,1
1,1,49,1,0,89,1,0
3,1,29,0,0,8,3,0
3,1,29,0,0,7,1,0
1,1,65,0,0,26,3,0
1,0,29,1,0,51,3,1
2,0,50,0,0,10,3,1
3,1,29,0,0,7,2,0
1,1,48,0,0,26,3,0
3,1,34,0,0,8,3,0
1,1,47,0,0,38,3,0
2,1,48,0,0,13,3,0
3,1,29,0,0,8,3,0
3,1,38,0,0,7,3,0
2,1,29,0,0,0,3,1
1,1,56,0,0,26,3,0
3,1,29,0,0,7,2,0
3,0,0,2,1,19,1,1
3,1,29,0,0,7,3,0
3,1,38,0,0,8,3,0
2,0,33,1,2,27,3,0
2,0,23,0,0,13,1,1
3,0,22,0,0,9,3,1
1,1,29,0,0,52,3,1
2,1,34,1,0,21,3,0
3,1,29,1,0,7,3,0
3,1,22,0,0,7,3,0
3,0,2,0,1,12,3,1
3,1,9,5,2,46,3,0
2,1,29,0,0,0,3,1
3,1,50,0,0,8,3,0
3,0,63,0,0,9,3,0
1,1,25,1,0,91,1,0
3,0,29,3,1,25,3,0
1,0,35,1,0,90,3,1
1,1,58,0,0,29,1,0
3,1,30,0,0,8,3,0
3,1,9,1,1,15,3,0
3,1,29,1,0,19,3,0
3,1,21,0,0,7,3,0
1,1,55,0,0,30,3,0
1,1,71,0,0,49,1,0
3,1,21,0,0,8,3,0
3,1,29,0,0,14,1,0
1,0,54,1,0,78,1,0
3,1,29,0,0,15,3,0
1,0,25,1,2,151,3,0
3,1,24,0,0,7,3,0
3,1,17,0,0,8,3,0
3,0,21,0,0,7,2,1
3,0,29,0,0,7,2,1
3,0,37,0,0,9,3,1
1,0,16,0,0,86,3,1
1,1,18,1,0,108,1,0
2,0,33,0,2,26,3,0
1,1,29,0,0,26,3,1
3,1,28,0,0,22,3,0
3,1,26,0,0,56,3,0
3,1,29,0,0,7,2,0
3,1,29,0,0,8,3,0
1,1,36,0,0,26,3,1
1,0,54,1,0,59,1,0
3,1,24,0,0,7,3,0
1,1,47,0,0,34,3,0
2,0,34,0,0,10,3,1
3,1,29,0,0,24,2,0
2,0,36,1,0,26,3,1
3,1,32,0,0,7,3,0
1,0,30,0,0,93,3,1
3,1,22,0,0,7,3,0
3,1,29,0,0,7,1,0
1,0,44,0,1,57,1,1
3,1,29,0,0,7,1,0
3,1,40,0,0,7,2,0
2,0,50,0,0,10,3,1
1,1,29,0,0,221,3,0
3,1,39,0,0,7,3,0
2,1,23,2,1,11,3,0
2,0,2,1,1,26,3,1
3,1,29,0,0,7,1,0
3,1,17,1,1,7,1,0
3,0,29,0,2,22,1,0
3,0,30,0,0,8,3,1
2,0,7,0,2,26,3,1
1,1,45,0,0,26,3,0
1,0,30,0,0,106,1,1
3,1,29,0,0,14,3,0
1,0,22,0,2,49,1,1
1,0,36,0,2,71,3,0
3,0,9,4,2,31,3,0
3,0,11,4,2,31,3,0
2,1,32,1,0,26,3,0
1,1,50,1,0,106,1,0
1,1,64,0,0,26,3,0
2,0,19,1,0,26,3,1
2,1,29,0,0,13,1,0
3,1,33,1,1,20,3,0
2,1,8,1,1,36,3,0
1,1,17,0,2,110,1,0
2,1,27,0,0,26,3,0
3,1,29,0,0,7,2,0
3,1,22,0,0,7,1,0
3,0,22,0,0,7,3,1
1,1,62,0,0,26,3,0
1,0,48,1,0,39,1,1
1,1,29,0,0,227,1,0
1,0,39,1,1,79,3,0
3,0,36,1,0,17,3,0
3,1,29,0,0,7,2,0
3,1,40,0,0,7,3,0
2,1,28,0,0,13,3,1
3,1,29,0,0,8,3,0
3,0,29,0,0,8,3,1
3,1,24,2,0,24,3,0
3,1,19,0,0,7,3,0
3,0,29,0,4,21,3,0
3,1,29,0,0,7,1,0
3,1,32,0,0,7,3,0
2,1,62,0,0,10,3,0
1,0,53,2,0,51,3,0
1,1,36,0,0,26,3,1
3,0,29,0,0,7,2,1
3,1,16,0,0,8,3,0
3,1,19,0,0,14,3,0
2,0,34,0,0,13,3,1
1,0,39,1,0,55,3,1
3,0,29,1,0,14,1,1
3,1,32,0,0,7,3,0
2,0,25,1,1,30,3,1
1,0,39,1,1,110,1,0
2,1,54,0,0,26,3,0
1,1,36,0,0,40,1,1
3,1,29,0,0,8,1,0
1,0,18,0,2,79,3,1
2,1,47,0,0,15,3,0
1,1,60,1,1,79,1,0
3,1,22,0,0,8,3,0
3,1,29,0,0,8,3,0
3,1,35,0,0,7,3,0
1,0,52,1,0,78,1,0
3,1,47,0,0,7,3,0
3,0,29,0,2,7,2,0
2,1,37,1,0,26,3,0
3,1,36,1,1,24,3,0
2,0,29,0,0,33,3,1
3,1,49,0,0,0,3,0
3,1,29,0,0,7,1,0
1,1,49,1,0,56,1,0
2,0,24,2,1,27,3,0
3,1,29,0,0,7,3,0
1,1,29,0,0,42,3,1
3,1,44,0,0,8,3,0
1,1,35,0,0,26,1,1
3,1,36,1,0,15,3,0
3,1,30,0,0,7,3,0
1,1,27,0,0,30,3,1
2,0,22,1,2,41,1,0
1,0,40,0,0,153,3,0
3,0,39,1,5,31,3,0
3,1,29,0,0,7,3,0
3,0,29,1,0,15,2,1
3,1,29,0,0,7,2,0
3,1,35,0,0,8,3,0
2,0,24,1,2,65,3,0
3,1,34,1,1,14,3,0
3,0,26,1,0,16,3,1
2,0,4,2,1,39,3,1
2,1,26,0,0,10,3,1
3,1,27,1,0,14,1,0
1,1,42,1,0,52,3,0
3,1,20,1,1,15,1,0
3,1,21,0,0,7,3,0
3,1,21,0,0,16,3,0
1,1,61,0,0,32,3,0
2,1,57,0,0,12,2,0
1,0,21,0,0,77,3,1
3,1,26,0,0,7,3,0
3,1,29,0,0,7,2,0
1,1,80,0,0,30,3,0
3,1,51,0,0,7,3,0
1,1,32,0,0,30,1,1
1,1,29,0,0,0,3,1
3,0,9,3,2,27,3,0
2,0,28,0,0,13,3,1
3,1,32,0,0,7,3,0
2,1,31,1,1,26,3,0
3,0,41,0,5,39,3,0
3,1,29,1,0,16,3,0
3,1,20,0,0,7,3,0
1,0,24,0,0,69,1,1
3,0,2,3,2,27,3,0
3,1,29,0,0,56,3,0
3,0,0,2,1,19,1,1
1,1,48,1,0,76,1,0
3,1,19,0,0,7,3,0
1,1,56,0,0,35,1,0
3,1,29,0,0,7,3,0
3,0,23,0,0,7,3,1
3,1,29,0,0,7,3,0
2,0,18,0,1,23,3,1
3,1,21,0,0,8,3,0
3,0,29,0,0,7,2,1
3,0,18,0,0,6,2,1
2,1,24,2,0,73,3,0
3,1,29,0,0,7,3,0
3,0,32,1,1,15,2,0
2,1,23,0,0,13,3,1
1,1,58,0,2,113,1,0
1,1,50,2,0,133,3,0
3,1,40,0,0,7,1,0
1,1,47,0,0,25,3,0
3,1,36,0,0,7,3,0
3,1,20,1,0,7,3,0
2,1,32,2,0,73,3,0
2,1,25,0,0,13,3,1
3,1,29,0,0,7,3,0
3,1,43,0,0,8,3,0
1,0,29,1,0,52,3,1
2,0,40,1,1,39,3,0
1,1,31,1,0,52,3,0
2,1,70,0,0,10,3,0
2,1,31,0,0,13,3,0
2,1,29,0,0,0,3,1
3,1,18,0,0,7,3,0
3,1,24,0,0,8,3,0
3,0,18,0,0,9,3,1
3,0,43,1,6,46,3,0
1,1,36,0,1,512,1,0
3,0,29,0,0,8,2,1
1,1,27,0,0,76,1,1
3,1,20,0,0,9,3,0
3,1,14,5,2,46,3,0
2,1,60,1,1,39,3,0
2,1,25,1,2,41,1,0
3,1,14,4,1,39,3,0
3,1,19,0,0,10,3,0
3,1,18,0,0,7,3,0
1,0,15,0,1,211,3,0
1,1,31,1,0,57,3,0
3,0,4,0,1,13,1,1
3,1,29,0,0,56,3,0
3,1,25,0,0,7,1,0
1,1,60,0,0,26,3,0
2,1,52,0,0,13,3,0
3,1,44,0,0,8,3,0
3,0,29,0,0,7,2,1
1,1,49,1,1,110,1,0
3,1,42,0,0,7,3,0
1,0,18,1,0,227,1,0
1,1,35,0,0,26,3,1
3,0,18,0,1,14,1,1
3,1,25,0,0,7,2,0
3,1,26,1,0,7,3,0
2,1,39,0,0,26,3,0
2,0,45,0,0,13,3,1
1,1,42,0,0,26,3,0
1,0,22,0,0,151,3,1
3,1,29,1,1,15,1,0
1,0,24,0,0,49,1,1
1,1,29,0,0,26,3,1
1,1,48,1,0,52,3,0
3,1,29,0,0,9,3,0
2,1,52,0,0,13,3,0
3,1,19,0,0,7,3,0
1,0,38,0,0,227,1,0
2,0,27,0,0,10,3,1
3,1,29,0,0,15,2,0
3,1,33,0,0,7,3,0
2,0,6,0,1,33,3,1
3,1,17,1,0,7,3,0
2,1,34,0,0,13,3,0
2,1,50,0,0,13,3,0
1,1,27,1,0,53,3,0
3,1,20,0,0,8,3,0
2,0,30,3,0,21,3,0
3,0,29,0,0,7,2,1
2,1,25,1,0,26,3,0
3,0,25,1,0,7,3,1
1,0,29,0,0,211,3,0
3,1,11,0,0,18,1,1
2,1,29,0,0,0,3,1
2,1,23,0,0,13,3,1
2,1,23,0,0,13,3,1
3,1,28,0,0,16,3,0
3,0,48,1,3,34,3,0
1,1,35,0,0,512,1,0
3,1,29,0,0,7,3,0
3,1,29,0,0,7,3,0
1,1,29,0,0,30,3,1
1,1,36,1,0,78,3,0
1,0,21,2,2,262,1,0
3,1,24,1,0,16,3,0
3,1,31,0,0,7,3,0
1,1,70,1,1,71,3,0
3,1,16,1,1,20,3,0
2,0,30,0,0,13,3,1
1,1,19,1,0,53,3,1
3,1,31,0,0,7,2,0
2,0,4,1,1,23,3,1
3,1,6,0,1,12,3,0
3,1,33,0,0,9,3,0
3,1,23,0,0,7,3,0
2,0,48,1,2,65,3,0
2,1,0,1,1,14,3,1
3,1,28,0,0,7,3,0
2,1,18,0,0,11,3,1
3,1,34,0,0,8,3,0
1,0,33,0,0,86,3,1
3,1,29,0,0,14,3,0
3,1,41,0,0,7,3,0
3,1,20,0,0,7,1,0
1,0,36,1,2,120,3,0
3,1,16,0,0,7,3,0
1,0,51,1,0,77,3,0
1,1,29,0,0,39,1,1
3,0,30,0,0,7,2,1
3,1,29,1,0,24,2,0
3,1,32,0,0,8,3,0
3,1,24,0,0,9,3,0
3,1,48,0,0,7,3,0
2,0,57,0,0,10,3,0
3,1,29,0,0,7,1,0
2,0,54,1,3,23,3,0
3,1,18,0,0,7,3,0
3,1,29,0,0,7,2,0
3,0,5,0,0,12,3,1
3,1,29,0,0,7,2,0
1,0,43,0,1,211,3,0
3,0,13,0,0,7,1,1
1,0,17,1,0,57,3,1
1,1,29,0,0,30,3,1
3,1,29,1,2,23,3,0
3,1,25,0,0,7,3,0
3,1,25,0,0,7,3,0
3,0,18,0,0,7,3,1
3,1,8,4,1,29,2,0
3,1,1,1,2,20,3,0
1,1,46,0,0,79,1,0
3,1,29,0,0,7,2,0
2,1,16,0,0,26,3,1
3,0,29,8,2,69,3,0
1,1,29,0,0,30,1,1
3,1,25,0,0,7,3,0
2,1,39,0,0,13,3,0
1,0,49,0,0,25,3,1
3,0,31,0,0,8,3,1
3,1,30,0,0,7,1,0
3,0,30,1,1,24,3,0
2,1,34,0,0,13,3,0
2,0,31,1,1,26,3,0
1,1,11,1,2,120,3,0
3,1,0,0,1,8,1,0
3,1,27,0,0,6,3,0
3,1,31,0,0,7,3,0
1,1,39,0,0,0,3,1
3,0,18,0,0,7,3,1
2,1,39,0,0,13,3,0
1,0,33,1,0,53,3,1
3,1,26,0,0,7,3,0
3,1,39,0,0,24,3,0
2,1,35,0,0,10,3,0
3,0,6,4,2,31,3,0
3,1,30,0,0,8,3,0
1,1,29,0,0,0,3,1
3,0,23,0,0,7,3,1
2,1,31,1,1,37,1,0
3,1,43,0,0,6,3,0
3,1,10,3,2,27,3,0
1,0,52,1,1,93,3,0
3,1,27,0,0,8,3,0
1,1,38,0,0,0,3,1
3,0,27,0,1,12,3,0
3,1,2,4,1,39,3,0
3,1,29,0,0,6,2,0
3,1,29,0,0,56,3,0
2,1,1,0,2,37,1,0
3,1,29,0,0,7,2,0
1,0,62,0,0,80,-9223372036854775808,1
3,0,15,1,0,14,1,1
2,1,0,1,1,18,3,1
3,1,29,0,0,7,1,0
3,1,23,0,0,7,3,0
3,1,18,0,0,8,3,0
1,0,39,1,1,83,1,0
3,1,21,0,0,8,3,0
3,1,29,0,0,8,3,0
3,1,32,0,0,56,3,0
1,1,29,0,0,29,1,1
3,1,20,0,0,7,3,0
2,1,16,0,0,10,3,1
1,0,30,0,0,31,1,1
3,1,34,0,0,6,1,0
3,1,17,0,0,8,3,0
3,1,42,0,0,7,3,0
3,1,29,8,2,69,3,0
3,1,35,0,0,7,1,0
2,1,28,0,1,33,3,0
1,0,29,1,0,89,1,1
3,1,4,4,2,31,3,0
3,1,74,0,0,7,3,0
3,0,9,1,1,15,1,1
1,0,16,0,1,39,3,1
2,0,44,1,0,26,3,0
3,0,18,0,1,9,3,1
1,0,45,1,1,164,3,0
1,1,51,0,0,26,3,0
3,0,24,0,3,19,1,0
3,1,29,0,0,7,1,0
3,1,41,2,0,14,3,0
2,1,21,1,0,11,3,0
1,0,48,0,0,25,3,1
3,0,29,8,2,69,3,0
2,1,24,0,0,13,3,1
2,0,42,0,0,13,3,1
2,0,27,1,0,13,1,1
1,1,31,0,0,50,3,1
3,1,29,0,0,9,3,0
3,1,4,1,1,11,3,0
3,1,26,0,0,7,3,0
1,0,47,1,1,52,3,0
1,1,33,0,0,5,3,1
3,1,47,0,0,9,3,0
